Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
DPY19L4,Predicted membrane proteins,"","","","","","","",Y
NDUFAF6,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
DRAM2,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
C8orf37,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
PPEF2,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
CFAP161,Predicted intracellular proteins,"","","","","","","",""
ADAMTSL3,Predicted secreted proteins,"","","","","","","",""
ART3,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
SLC28A1,"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
WHAMM,Predicted intracellular proteins,"","","","","","","",""
CXCL13,"Cancer-related genes, Predicted secreted proteins","","","","","","","",""
N6AMT1,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
RWDD2B,Predicted intracellular proteins,"","","","","","","",""
USP16,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"",Y,"","",""
CCT8,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
MAP3K7CL,Predicted intracellular proteins,"","","","","","","",""
NAA11,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
BACH1,"Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
CLDN17,"Predicted membrane proteins, Transporters","","","","","","","",Y
CLDN8,"Predicted membrane proteins, Transporters","","","","","","","",Y
TSPAN7,"CD markers, Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
TIAM1,"Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins","","","","","","","",""
SCAF4,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
RPGR,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
CDK20,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
PCGF6,Predicted intracellular proteins,"","","","","","","",""
ANKRD9,Predicted intracellular proteins,"","","","","","","",""
SFR1,Predicted intracellular proteins,"","","","","","","",""
SORCS3,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
SFXN2,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
ATP5MPL,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
FUT6,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","","",Y,"","","","",Y
TDRD9,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
FGF18,"Cancer-related genes, Predicted secreted proteins, RAS pathway related proteins","","","","","","","",""
PCDH1,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
SH3RF2,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
GDF6,"Disease related genes, Human disease related genes, Predicted secreted proteins",Y,"","","","","","",""
UQCRB,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Y,"","","","","","",""
MTERF3,Predicted intracellular proteins,"","","","","","","",""
PTDSS1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins",Y,Y,Y,"","","","",Y
PPP2R2B,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Y,"","","","","","",""
RPL30,"Plasma proteins, Predicted intracellular proteins, Ribosomal proteins","","","","","","","",""
KCNS2,"Predicted membrane proteins, Transporters, Voltage-gated ion channels","","","","","","","",Y
FAM122C,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
SUPV3L1,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
FAM122B,Predicted intracellular proteins,"","","","","","","",""
EEF1A1,"Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","","","","","","",""
FBXO43,Predicted intracellular proteins,"","","","","","","",""
HKDC1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
HK1,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
TYSND1,"Enzymes, Predicted intracellular proteins","","",Y,"",Y,"","",""
PHF6,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
CD109,"CD markers, Plasma proteins, Predicted membrane proteins","","","","","","","",Y
LRFN2,Predicted membrane proteins,"","","","","","","",Y
NODAL,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
PRG3,Predicted secreted proteins,"","","","","","","",""
UBE2L6,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
ZDHHC5,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
MED19,Predicted intracellular proteins,"","","","","","","",""
ZFAND3,Predicted intracellular proteins,"","","","","","","",""
NPTN,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
KAT6B,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors",Y,Y,Y,"","","",Y,""
SAMD8,Predicted membrane proteins,"","","","","","","",Y
RAB11FIP1,Predicted intracellular proteins,"","","","","","","",""
UNC5D,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
GLYATL2,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
UTP14A,Predicted intracellular proteins,"","","","","","","",""
AIFM1,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
MAPK13,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
BAG4,Predicted intracellular proteins,"","","","","","","",""
MS4A1,"CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
TBC1D31,Predicted intracellular proteins,"","","","","","","",""
NTAQ1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
ATAD2,Predicted intracellular proteins,"","","","","","","",""
FBXO32,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
NSMCE2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
ZNF689,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
PRR14,Predicted intracellular proteins,"","","","","","","",""
FBRS,Predicted intracellular proteins,"","","","","","","",""
FRRS1,Predicted membrane proteins,"","","","","","","",Y
PHKG2,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,Y,"","","",Y
MFSD14A,"Predicted membrane proteins, Transporters","","","","","","","",Y
SASS6,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
COX6A2,"Disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Y,Y,"","","","","",""
ITGAD,"CD markers, Predicted membrane proteins","","","","","","","",Y
ADGRG4,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins","","","","","",Y,"",Y
ZIC3,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
MALSU1,Predicted intracellular proteins,"","","","","","","",""
VPS8,Predicted intracellular proteins,"","","","","","","",""
GALK2,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
LHFPL4,"Predicted membrane proteins, Transporters","","","","","","","",Y
B3GNT7,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
MPV17L,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
BUB1B,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,Y,"","","",""
PDE6D,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Y,"","","","","","",""
EIF4A2,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
BRPF1,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
RPUSD3,Predicted intracellular proteins,"","","","","","","",""
SST,"Cancer-related genes, Plasma proteins, Predicted secreted proteins","","","","","","","",""
TATDN2,Predicted intracellular proteins,"","","","","","","",""
GHRL,"Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
SEC13,"Metabolic proteins, Predicted intracellular proteins, Transporters","","","","","","","",""
EXOG,Predicted intracellular proteins,"","","","","","","",""
NTAN1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
SHCBP1L,Predicted intracellular proteins,"","","","","","","",""
NMNAT2,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
ZFYVE9,Predicted intracellular proteins,"","","","","","","",""
ATP2B2,"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters","",Y,Y,"","","","",Y
LYZL4,Predicted secreted proteins,"","","","","","","",""
SLC6A1,"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
SMG1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
FCHO2,Predicted intracellular proteins,"","","","","","","",""
RBPMS,Predicted intracellular proteins,"","","","","","","",""
TMEM171,Predicted membrane proteins,"","","","","","","",Y
KLHL40,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
C8A,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters",Y,Y,"","","","","",""
TIMP4,"Plasma proteins, Predicted secreted proteins","","","","","","","",""
SYN2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
NRG1,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Y,"","","","","","",Y
ODR4,Predicted membrane proteins,"","","","","","","",Y
CPT2,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Y,Y,Y,"","","","",""
NECAP2,Predicted intracellular proteins,"","","","","","","",""
LRP8,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Y,"","","","","","",Y
CDCP2,"Predicted membrane proteins, Predicted secreted proteins","","","","","","","",Y
PAXIP1,Predicted intracellular proteins,"","","","","","","",""
STEAP2,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
SSBP3,Predicted intracellular proteins,"","","","","","","",""
HTR5A,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
CLDN12,Predicted membrane proteins,"","","","","","","",Y
MMP14,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,Y,"",Y,"","",Y
FZD1,"Cancer-related genes, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Transporters","","","","","",Y,"",Y
GATAD1,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
SUSD3,Predicted membrane proteins,"","","","","","","",Y
TMED6,Predicted membrane proteins,"","","","","","","",Y
CLEC18A,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
DHRS4,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
C1orf158,Predicted intracellular proteins,"","","","","","","",""
CLEC18C,Predicted secreted proteins,"","","","","","","",""
ARMC12,Predicted intracellular proteins,"","","","","","","",""
DDX19B,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters","","",Y,"","","","",""
ST3GAL2,"Enzymes, Metabolic proteins, Predicted membrane proteins","","",Y,"","","","",Y
FCSK,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
IL34,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
DHRS1,Predicted intracellular proteins,"","","","","","","",""
CACNA1D,"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Y,Y,"","","","","",Y
ARSL,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
KIT,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, RAS pathway related proteins",Y,Y,Y,Y,"","","",Y
HYDIN,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
AASDH,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
ZNF19,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
CACNA2D3,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters","",Y,"","","","","",Y
RNF111,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
CCNB2,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters","","","","","","","",""
FAM81A,Predicted intracellular proteins,"","","","","","","",""
MYO1E,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
APPL1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
PWWP3B,Predicted intracellular proteins,"","","","","","","",""
AFAP1L1,Predicted intracellular proteins,"","","","","","","",""
TSC22D3,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
VPS26C,"Plasma proteins, Predicted intracellular proteins, Transporters","","","","","","","",""
DYRK1A,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,Y,"","","",""
KCNJ6,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Y,Y,"","","","","",Y
KCNJ15,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels","",Y,"","","","","",Y
ERG,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
ETS2,"Predicted intracellular proteins, RAS pathway related proteins, Transcription factors","","","","","","",Y,""
TSPAN18,"Predicted membrane proteins, Transporters","","","","","","","",Y
LCA5L,Predicted intracellular proteins,"","","","","","","",""
SLC35B2,"Metabolic proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
TMEM164,Predicted membrane proteins,"","","","","","","",Y
MX1,Predicted intracellular proteins,"","","","","","","",""
CREB3L1,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors",Y,"","","","","",Y,Y
C2CD2,Predicted intracellular proteins,"","","","","","","",""
TAB3,Predicted intracellular proteins,"","","","","","","",""
SLC38A10,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
C9orf43,Predicted intracellular proteins,"","","","","","","",""
PALM2AKAP2,Predicted intracellular proteins,"","","","","","","",""
ZNF618,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
DGKI,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
TMEM268,Predicted membrane proteins,"","","","","","","",Y
SVOPL,"Predicted membrane proteins, Transporters","","","","","","","",Y
SNX22,Predicted intracellular proteins,"","","","","","","",""
UBN2,Predicted intracellular proteins,"","","","","","","",""
BRAF,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Y,Y,Y,Y,"","","",""
SLC34A2,"Cancer-related genes, Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
ACAN,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
PSMG3,Predicted intracellular proteins,"","","","","","","",""
CABP1,Predicted intracellular proteins,"","","","","","","",""
WDR19,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
SLC37A3,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
AP3S2,Predicted intracellular proteins,"","","","","","","",""
FMNL2,Predicted intracellular proteins,"","","","","","","",""
GAREM2,Predicted intracellular proteins,"","","","","","","",""
SPPL3,"Enzymes, Predicted membrane proteins","","",Y,"",Y,"","",Y
DPYSL5,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
DRC1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
RAB28,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
PRXL2B,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
TNFRSF14,"Cancer-related genes, CD markers, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
PANK4,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
CIB4,Predicted intracellular proteins,"","","","","","","",""
MEGF11,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
C12orf43,Predicted intracellular proteins,"","","","","","","",""
PEX10,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
RER1,"Predicted membrane proteins, Transporters","","","","","","","",Y
RADIL,Predicted intracellular proteins,"","","","","","","",""
SKI,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
WIPI2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
LDLRAP1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
AGAP1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
KRTCAP3,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
ANKRD61,Predicted intracellular proteins,"","","","","","","",""
PAFAH2,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
EXTL1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
SLC30A2,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
BABAM2,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
TRIM63,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
CFAP251,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
MRPL17,"Predicted intracellular proteins, Ribosomal proteins","","","","","","","",""
DUSP2,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
GRHL3,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
UBXN11,Predicted intracellular proteins,"","","","","","","",""
NLRP14,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
PTPDC1,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
GALNT14,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
NCK1,Predicted intracellular proteins,"","","","","","","",""
HPD,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Y,Y,Y,"","","","",""
RHPN1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
TPRG1L,Predicted intracellular proteins,"","","","","","","",""
LRRC43,Predicted intracellular proteins,"","","","","","","",""
PRXL2C,Predicted intracellular proteins,"","","","","","","",""
XDH,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Y,Y,Y,"","","","",""
XKR8,"Predicted membrane proteins, Transporters","","","","","","","",Y
CNNM4,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
EYA3,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
DZIP1L,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
TMSB15A,Predicted intracellular proteins,"","","","","","","",""
FANCC,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
MRAS,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins",Y,Y,Y,"","","","",""
WASF2,Predicted intracellular proteins,"","","","","","","",""
ABHD3,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
ESYT3,"Predicted membrane proteins, Transporters","","","","","","","",Y
FAIM,Predicted intracellular proteins,"","","","","","","",""
TENT5B,Predicted intracellular proteins,"","","","","","","",""
CLSTN2,Predicted membrane proteins,"","","","","","","",Y
COLEC12,Predicted membrane proteins,"","","","","","","",Y
RNF207,Predicted intracellular proteins,"","","","","","","",""
CUL4B,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
GPR153,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
SLC13A3,"Disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
GPRASP2,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
RHBDL2,"Enzymes, Predicted membrane proteins","","",Y,"",Y,"","",Y
AUTS2,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
SHROOM4,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
H2BC5,Predicted intracellular proteins,"","","","","","","",""
CDC25C,"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
H4C8,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
MITD1,Predicted intracellular proteins,"","","","","","","",""
EIF5B,"Enzymes, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
RIBC1,Predicted intracellular proteins,"","","","","","","",""
TMSB15B,Predicted intracellular proteins,"","","","","","","",""
CATIP,Predicted intracellular proteins,"","","","","","","",""
CNOT11,Predicted intracellular proteins,"","","","","","","",""
KCNB1,"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels",Y,Y,"","","","","",Y
TSPAN33,"Predicted membrane proteins, Transporters","","","","","","","",Y
NRG2,"Cancer-related genes, Predicted membrane proteins, Predicted secreted proteins","","","","","","","",Y
AHCYL2,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
B4GALT5,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
CD1D,"Cancer-related genes, CD markers, Predicted membrane proteins","","","","","","","",Y
CD1A,"CD markers, Predicted membrane proteins","","","","","","","",Y
SPATA2,Predicted intracellular proteins,"","","","","","","",""
CD1C,"CD markers, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
CD1B,"CD markers, Predicted membrane proteins","","","","","","","",Y
DNAH3,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
CD1E,"CD markers, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
HMHB1,Predicted intracellular proteins,"","","","","","","",""
CPA2,"Enzymes, Metabolic proteins, Predicted secreted proteins","","",Y,"",Y,"","",""
NCF1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
CPA5,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins","","",Y,"",Y,"","",""
TSR2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
PPP1R9A,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ZC3H18,Predicted intracellular proteins,"","","","","","","",""
ZFAND2B,Predicted intracellular proteins,"","","","","","","",""
POM121L2,Predicted intracellular proteins,"","","","","","","",""
GDPD5,"Enzymes, Predicted membrane proteins","","",Y,"","","","",Y
DYNC1I1,Predicted intracellular proteins,"","","","","","","",""
PFKFB1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
ALAS2,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
TMED4,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
PPP1R15B,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
COPG2,"Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","","","","","","",""
EMSY,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
PAGE5,Predicted intracellular proteins,"","","","","","","",""
GPAT4,"Enzymes, Metabolic proteins, Predicted membrane proteins","","",Y,"","","","",Y
PKD1L1,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
ZSCAN12,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
TAGLN2,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ELK4,"Cancer-related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SLAMF8,"CD markers, Predicted membrane proteins","","","","","","","",Y
SLC45A3,"Cancer-related genes, Predicted membrane proteins, Transporters","","","","","","","",Y
DUSP23,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
RNF166,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
NBL1,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
HTR6,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins","",Y,"","","",Y,"",Y
ITLN2,Predicted secreted proteins,"","","","","","","",""
F11R,"CD markers, Plasma proteins, Predicted membrane proteins","","","","","","","",Y
USF1,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
PLA2G2F,"Enzymes, Metabolic proteins, Predicted membrane proteins, RAS pathway related proteins","","",Y,"","","","",Y
SPATA2L,Predicted intracellular proteins,"","","","","","","",""
NIT1,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
DEDD,Predicted intracellular proteins,"","","","","","","",""
ZNF276,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
NPM2,Predicted intracellular proteins,"","","","","","","",""
EDA,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Y,"","","","","","",Y
FGF17,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted secreted proteins, RAS pathway related proteins",Y,"","","","","","",""
VWA5B1,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
CDA,"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","",Y,Y,"","","","",""
PINK1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,Y,"","","",""
