Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
MPO,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
PON1,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters",Y,Y,Y,"","","","",""
GCFC2,Predicted intracellular proteins,"","","","","","","",""
WDR54,Predicted intracellular proteins,"","","","","","","",""
CROT,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters","","",Y,"","","","",""
ABCB4,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,Y,"","","","",Y
KMT2E,"Disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
RHBDD2,"Enzymes, Predicted membrane proteins, Transporters","","",Y,"",Y,"","",Y
SOX8,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
IBTK,Predicted intracellular proteins,"","","","","","","",""
ZNF195,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
MYCBP2,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
FBXL3,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
ITGAL,"CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters","",Y,"","","","","",Y
PDK2,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
ITGA3,"Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
ZFX,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
LAMP2,"CD markers, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
ITGA2B,"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,"","","","","",Y
ASB4,Predicted intracellular proteins,"","","","","","","",""
GDE1,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
REX1BD,Predicted intracellular proteins,"","","","","","","",""
CRLF1,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
OSBPL7,Predicted intracellular proteins,"","","","","","","",""
TMEM98,"Disease related genes, Human disease related genes, Predicted membrane proteins",Y,"","","","","","",Y
YBX2,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
KRT33A,Predicted intracellular proteins,"","","","","","","",""
MAP3K14,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
ABCC8,"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
CACNG3,"FDA approved drug targets, Predicted membrane proteins, Transporters","",Y,"","","","","",Y
TMEM132A,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
AP2B1,"Cancer-related genes, Predicted intracellular proteins, Transporters","","","","","","","",""
TAC1,Predicted secreted proteins,"","","","","","","",""
ZNF263,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
CX3CL1,"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins","","","","","","","",Y
SPATA20,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
CACNA1G,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels",Y,Y,"","","","","",Y
TNFRSF12A,"Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
DLX6,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
MAP3K9,"Disease related genes, Enzymes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,Y,"","","",""
RALA,"Enzymes, Predicted intracellular proteins, RAS pathway related proteins","","",Y,"","","","",""
BAIAP2L1,Predicted intracellular proteins,"","","","","","","",""
KDM7A,Predicted intracellular proteins,"","","","","","","",""
ETV1,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
AGK,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
ALDH3B1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
TTC22,Predicted intracellular proteins,"","","","","","","",""
PHTF2,"Predicted membrane proteins, Transcription factors","","","","","","",Y,Y
CCL26,"Human disease related genes, Predicted secreted proteins","","","","","","","",""
FARP2,Predicted intracellular proteins,"","","","","","","",""
USH1C,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
GGCT,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
DBF4,Predicted intracellular proteins,"","","","","","","",""
TBXA2R,"Disease related genes, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins",Y,"","","","",Y,"",Y
IFRD1,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
LGALS14,Predicted intracellular proteins,"","","","","","","",""
COX10,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,"","","","",Y
GTF2IRD1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
PAF1,Predicted intracellular proteins,"","","","","","","",""
VPS41,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ARHGAP44,Predicted intracellular proteins,"","","","","","","",""
ELAC2,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
SCIN,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
ARSD,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
PNPLA4,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
